BOX,Experiment,Date_added,Predated,Date_Predated,Puncture,MissingEgg,Year,EggsRemaining,natural predation laying/check date,predation date,,,
U001,0,,,,,,2022,,,,,,
U002,NA,,,,,,2022,,,,,,
U003,NA,,,,,,2022,,,,,,
U004,NA,,,,,,2022,OWL,,,,,
U005,1,12/04/2022,1,07/05/2022,1,1,2022,,9910308906217HP4 Camera,,,,
U006,1,12/04/2022,0,NA,NA,NA,2022,,,,,,
U007,1,12/04/2022,1,06/05/2022,,1,2022,1,,,,,
U008,0,,NA,,,,2022,OWL,,12/04/2022,,,NO CHICKS BUT MAYBE HATCHED AND DIED
U009,1,22/04/2022,NA,,,,2022,,,,,,
U010,1,22/04/2022,0,NA,NA,NA,2022,,,,,,
U011,0,NA,NA,,,,2022,,,,,,
U012,0,,,,,,2022,,,,,,
U013,0,,,,,,2022,,,,,,
U014,1,11/04/2022,1,06/05/2022,NA,1,2022,0,,,,,
U015,1,11/04/2022,NA,NA,,,2022,,,,,,
U15a GONE,NA,,,,,,2022,,,,,,
U016,1,11/04/2022,NA,,,,2022,,,,,,
U017,0,,,,,,2022,,,,,,
U018,1,11/04/2022,0,NA,,,2022,,,,,,
U019,1,,NA,,,,2022,OWL,,,,,
U020,NA,,,,,,2022,OWL,,,,,
U021,1,12/04/2022,1,12/05/2022,,1,2022,01/01/1900,,,,,
U022,1,NA,NA,NA,,,2022,,,,,,
U023,0,,,,,,2022,,,,,,
U024,0,,,,,,2022,FAILED OWL,,,,,
U025a,1,12/04/2022,0,NA,,,2022,,,,,,
U025,1,12/04/2022,0,,,,2022,,,,,,
U026,0,,,,,,2022,,,,,,
U027,0,,,,,,2022,,,,,,
U028,0,,,,,,2022,OWL,,,,,
U029,0,,,,,,2022,,,,,,
U030,1,14/04/2022,0,,,,2022,,,,,,
U031,1,15/04/2022,0,,,,2022,,,,,,
U032,0,,,,,,2022,,,,,,
U033,0,,,,,,2022,,,,,,
U034,1,14/04/2022,0,,,,2022,,,,,,
U035,1,14/04/2022,1,,,1,2022,0,,,,,
U036,0,,,,,,2022,OWL,,,,,
U037,1,14/04/2022,1,NA,,1,2022,,,,,,
U038,1,14/04/2022,0,,,,2022,,,,,,
U039,0,,,,,,2022,,,,,,
U040,0,,,,,,2022,,,,,,
U041,1,14/04/2022,0,,,,2022,,,,,,
U042,1,14/04/2022,1,,,1,2022,1,,,,,
U043,1,14/04/2022,0,,,,2022,,,,,,
U044,1,14/04/2022,0,,,,2022,,,,,,
U044B,NA,,,,,,2022,,,,,,
U045,1,11/04/2022,0,,,,2022,,,,,,
U050,1,11/04/2022,1,,,1,2022,,,,,,
U050a,1,11/04/2022,0,,,,2022,,,,,,
U051,1,11/04/2022,0,,,,2022,,,,,,
U052,NA,,,,,,2022,,,,,,
U053,1,11/04/2022,0,,,,2022,,,,,,
U051a,1,11/04/2022,0,,,,2022,,,,,,
U054,1,,NA,,,,2022,OWL,,,,,
U055,0,,,,,,2022,OWL,,,,,
U057,0,,,,,,2022,,,,,,
U058,1,NA,,,,,2022,,,,,,
U059,1,NA,NA,,,,2022,OWL,,08/05/2022,,,
U060,1,11/04/2022,1,,0,1,2022,1,,,,,
U061,1,11/04/2022,0,,,,2022,,,,,,
U062,1,11/04/2022,0,,,,2022,,,,,,
U063,0,NA,,,,,2022,,,,,,
U064,1,NA,,,,,2022,,,,,,
U065,1,NA,,,,,2022,,,,,,
